Date,Close,High,Low,Open,Volume,SMA_20,EMA_20,RSI,MACD,Signal,Stoch,ATR,OBV,ADX
4/28/2017,1316.47998,1331.280029,1292.369995,1317.73999,527488992,1220.4755,1225.440495,72.00582759,42.57567728,33.64191618,93.31128404,32.3544051,4412009420,27.2826546
4/29/2017,1321.790039,1327.199951,1315.209961,1317.839966,422705984,1227.171503,1234.616642,72.59598275,44.92907225,35.89934739,94.62952703,30.89957229,4834715404,29.07050073
4/30/2017,1347.890015,1347.910034,1314.920044,1321.869995,413115008,1235.209503,1245.404582,75.34700291,48.34293733,38.38806538,95.03636122,31.04890994,5247830412,31.06712786
5/1/2017,1421.599976,1434.319946,1348.300049,1348.300049,713624000,1246.039001,1262.185096,81.11339533,56.34669817,41.97979194,96.23991563,35.00524062,5961454412,33.86510909
5/2/2017,1452.819946,1473.900024,1415.689941,1421.030029,477337984,1258.661499,1280.340796,82.9341574,64.46580534,46.47699462,95.63070503,36.66294079,6438792396,36.74318741
5/3/2017,1490.089966,1492.77002,1447.48999,1453.780029,583795968,1274.701996,1300.316907,84.81605405,73.06538312,51.79467232,95.32521269,37.27852002,7022588364,39.53252152
5/4/2017,1537.670044,1608.910034,1490.719971,1490.719971,933548992,1293.208496,1322.921968,86.81498934,82.7658519,57.98890823,91.22402978,43.10355692,7956137356,42.63400612
5/5/2017,1555.449951,1618.030029,1530.310059,1540.869995,946035968,1312.354993,1345.06749,87.47837169,90.84107386,64.55934136,88.78933593,46.29076909,8902173324,45.54355874
5/6/2017,1578.800049,1578.800049,1542.5,1556.810059,582529984,1332.147998,1367.327734,88.31020127,97.99527466,71.24652802,85.94070947,45.57707854,9484703308,48.2451789
5/7/2017,1596.709961,1596.719971,1559.76001,1579.469971,1080029952,1352.287994,1389.17366,88.91829373,103.9123734,77.7796971,90.06438663,44.96151594,10564733260,50.8163396
5/8/2017,1723.349976,1723.349976,1596.920044,1596.920044,1340320000,1377.871991,1420.999976,92.06248692,117.4664277,85.71704322,95.10194408,50.79617146,11905053260,53.52599417
